time,n_infected,prop_ever_infected,prop_currently_infected,n_recovered,prop_recovered,b_cxn_peers,b_cxn_total,b_cxn_symp,iter
0.0,1.0,0.0016286644951140066,0.0,0.0,0.0,-0.5,-3.5,-1.5,1
1.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
2.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
3.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
4.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
5.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
6.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
7.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
8.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
9.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
10.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
11.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
12.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
13.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,1
14.0,1.0,0.003257328990228013,0.0016286644951140066,1.0,0.5,-0.5,-3.5,-1.5,1
15.0,1.0,0.003257328990228013,0.0016286644951140066,1.0,0.5,-0.5,-3.5,-1.5,1
16.0,1.0,0.003257328990228013,0.0016286644951140066,1.0,0.5,-0.5,-3.5,-1.5,1
17.0,2.0,0.004885993485342019,0.003257328990228013,1.0,0.3333333333333333,-0.5,-3.5,-1.5,1
18.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-3.5,-1.5,1
19.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-3.5,-1.5,1
20.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-3.5,-1.5,1
21.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-3.5,-1.5,1
22.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-3.5,-1.5,1
23.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-3.5,-1.5,1
24.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-3.5,-1.5,1
25.0,4.0,0.008143322475570033,0.006514657980456026,1.0,0.2,-0.5,-3.5,-1.5,1
26.0,4.0,0.008143322475570033,0.006514657980456026,1.0,0.2,-0.5,-3.5,-1.5,1
27.0,4.0,0.008143322475570033,0.006514657980456026,1.0,0.2,-0.5,-3.5,-1.5,1
28.0,3.0,0.008143322475570033,0.004885993485342019,2.0,0.4,-0.5,-3.5,-1.5,1
29.0,3.0,0.008143322475570033,0.004885993485342019,2.0,0.4,-0.5,-3.5,-1.5,1
30.0,3.0,0.008143322475570033,0.004885993485342019,2.0,0.4,-0.5,-3.5,-1.5,1
31.0,2.0,0.008143322475570033,0.003257328990228013,3.0,0.6,-0.5,-3.5,-1.5,1
32.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-3.5,-1.5,1
33.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-3.5,-1.5,1
34.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-3.5,-1.5,1
35.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-3.5,-1.5,1
36.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-3.5,-1.5,1
37.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-3.5,-1.5,1
38.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-3.5,-1.5,1
39.0,0.0,0.008143322475570033,0.0,5.0,1.0,-0.5,-3.5,-1.5,1
200.0,0.0,0.008143322475570033,0.0,5.0,1.0,-0.5,-3.5,-1.5,1
0.0,1.0,0.0016286644951140066,0.0,0.0,0.0,-0.5,-3.5,-1.5,2
1.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,2
2.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,2
3.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,2
4.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,2
5.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,2
6.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-1.5,2
7.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-3.5,-1.5,2
8.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-3.5,-1.5,2
9.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-3.5,-1.5,2
10.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-3.5,-1.5,2
11.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-3.5,-1.5,2
12.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-3.5,-1.5,2
13.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-3.5,-1.5,2
14.0,1.0,0.003257328990228013,0.0016286644951140066,1.0,0.5,-0.5,-3.5,-1.5,2
15.0,1.0,0.003257328990228013,0.0016286644951140066,1.0,0.5,-0.5,-3.5,-1.5,2
16.0,1.0,0.003257328990228013,0.0016286644951140066,1.0,0.5,-0.5,-3.5,-1.5,2
17.0,1.0,0.003257328990228013,0.0016286644951140066,1.0,0.5,-0.5,-3.5,-1.5,2
18.0,1.0,0.003257328990228013,0.0016286644951140066,1.0,0.5,-0.5,-3.5,-1.5,2
19.0,1.0,0.003257328990228013,0.0016286644951140066,1.0,0.5,-0.5,-3.5,-1.5,2
20.0,1.0,0.003257328990228013,0.0016286644951140066,1.0,0.5,-0.5,-3.5,-1.5,2
21.0,0.0,0.003257328990228013,0.0,2.0,1.0,-0.5,-3.5,-1.5,2
200.0,0.0,0.003257328990228013,0.0,2.0,1.0,-0.5,-3.5,-1.5,2
0.0,1.0,0.0016286644951140066,0.0,0.0,0.0,-0.5,-3.5,-2.0,1
1.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
2.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
3.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
4.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
5.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
6.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
7.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
8.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
9.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
10.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
11.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
12.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
13.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,1
14.0,0.0,0.0016286644951140066,0.0,1.0,1.0,-0.5,-3.5,-2.0,1
200.0,0.0,0.0016286644951140066,0.0,1.0,1.0,-0.5,-3.5,-2.0,1
0.0,1.0,0.0016286644951140066,0.0,0.0,0.0,-0.5,-3.5,-2.0,2
1.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
2.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
3.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
4.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
5.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
6.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
7.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
8.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
9.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
10.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
11.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
12.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
13.0,1.0,0.0016286644951140066,0.0016286644951140066,0.0,0.0,-0.5,-3.5,-2.0,2
14.0,0.0,0.0016286644951140066,0.0,1.0,1.0,-0.5,-3.5,-2.0,2
200.0,0.0,0.0016286644951140066,0.0,1.0,1.0,-0.5,-3.5,-2.0,2
0.0,1.0,0.0016286644951140066,0.0,0.0,0.0,-0.5,-5.0,-1.5,1
1.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-5.0,-1.5,1
2.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-5.0,-1.5,1
3.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-5.0,-1.5,1
4.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-5.0,-1.5,1
5.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-5.0,-1.5,1
6.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-5.0,-1.5,1
7.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-5.0,-1.5,1
8.0,2.0,0.003257328990228013,0.003257328990228013,0.0,0.0,-0.5,-5.0,-1.5,1
9.0,3.0,0.004885993485342019,0.004885993485342019,0.0,0.0,-0.5,-5.0,-1.5,1
10.0,3.0,0.004885993485342019,0.004885993485342019,0.0,0.0,-0.5,-5.0,-1.5,1
11.0,3.0,0.004885993485342019,0.004885993485342019,0.0,0.0,-0.5,-5.0,-1.5,1
12.0,3.0,0.004885993485342019,0.004885993485342019,0.0,0.0,-0.5,-5.0,-1.5,1
13.0,3.0,0.004885993485342019,0.004885993485342019,0.0,0.0,-0.5,-5.0,-1.5,1
14.0,3.0,0.006514657980456026,0.004885993485342019,1.0,0.25,-0.5,-5.0,-1.5,1
15.0,2.0,0.006514657980456026,0.003257328990228013,2.0,0.5,-0.5,-5.0,-1.5,1
16.0,2.0,0.006514657980456026,0.003257328990228013,2.0,0.5,-0.5,-5.0,-1.5,1
17.0,2.0,0.006514657980456026,0.003257328990228013,2.0,0.5,-0.5,-5.0,-1.5,1
18.0,2.0,0.006514657980456026,0.003257328990228013,2.0,0.5,-0.5,-5.0,-1.5,1
19.0,2.0,0.006514657980456026,0.003257328990228013,2.0,0.5,-0.5,-5.0,-1.5,1
20.0,2.0,0.006514657980456026,0.003257328990228013,2.0,0.5,-0.5,-5.0,-1.5,1
21.0,2.0,0.006514657980456026,0.003257328990228013,2.0,0.5,-0.5,-5.0,-1.5,1
22.0,3.0,0.008143322475570033,0.004885993485342019,2.0,0.4,-0.5,-5.0,-1.5,1
23.0,2.0,0.008143322475570033,0.003257328990228013,3.0,0.6,-0.5,-5.0,-1.5,1
24.0,2.0,0.008143322475570033,0.003257328990228013,3.0,0.6,-0.5,-5.0,-1.5,1
25.0,2.0,0.008143322475570033,0.003257328990228013,3.0,0.6,-0.5,-5.0,-1.5,1
26.0,2.0,0.008143322475570033,0.003257328990228013,3.0,0.6,-0.5,-5.0,-1.5,1
27.0,2.0,0.008143322475570033,0.003257328990228013,3.0,0.6,-0.5,-5.0,-1.5,1
28.0,1.0,0.008143322475570033,0.0016286644951140066,4.0,0.8,-0.5,-5.0,-1.5,1
29.0,2.0,0.009771986970684038,0.003257328990228013,4.0,0.6666666666666666,-0.5,-5.0,-1.5,1
30.0,2.0,0.009771986970684038,0.003257328990228013,4.0,0.6666666666666666,-0.5,-5.0,-1.5,1
31.0,2.0,0.009771986970684038,0.003257328990228013,4.0,0.6666666666666666,-0.5,-5.0,-1.5,1
32.0,2.0,0.009771986970684038,0.003257328990228013,4.0,0.6666666666666666,-0.5,-5.0,-1.5,1
33.0,2.0,0.009771986970684038,0.003257328990228013,4.0,0.6666666666666666,-0.5,-5.0,-1.5,1
34.0,2.0,0.009771986970684038,0.003257328990228013,4.0,0.6666666666666666,-0.5,-5.0,-1.5,1
35.0,2.0,0.009771986970684038,0.003257328990228013,4.0,0.6666666666666666,-0.5,-5.0,-1.5,1
36.0,1.0,0.009771986970684038,0.0016286644951140066,5.0,0.8333333333333334,-0.5,-5.0,-1.5,1
